Volume,X,Y,Z,Edep_keV,StepLength_nm,Edep_J
TiO2_Coating_PV,34.3217,66.686,-2160.44,0.126861,358.583,2.03231322e-17
Gd2O3_Coating_PV,34.5859,66.8873,-2160.3,0.431433,248.865,6.911556659999999e-17
World,34.773,67.0156,-2160.2,3.95611,13600400.0,6.337688219999999e-16
Cladding_PV,-50.9263,1.43384,-2490.11,8.34932,28816.6,1.337561064e-15
Cladding_PV,-59.0565,-1.40107,-2463.05,9.6067,29483.4,1.53899334e-15
Cladding_PV,-60.548,-0.340376,-2434.08,6.95007,22064.0,1.113401214e-15
Cladding_PV,-47.8285,14.1484,-2423.92,21.3665,21609.7,3.4229132999999996e-15
Cladding_PV,-37.9772,22.4712,-2406.91,5.18327,25451.6,8.303598540000001e-16
Cladding_PV,-31.2776,28.9137,-2383.64,14.6678,26762.9,2.34978156e-15
Cladding_PV,-27.436,37.3908,-2359.04,14.9305,23273.5,2.3918661e-15
Cladding_PV,-33.6095,45.2923,-2338.45,10.7171,26932.2,1.71687942e-15
Cladding_PV,-45.3052,53.073,-2316.1,3.82327,11475.9,6.12487854e-16
TiO2_Coating_PV,-49.2441,56.5687,-2306.16,0.581134,830.959,9.30976668e-17
Gd2O3_Coating_PV,-49.5386,56.7099,-2305.4,0.115719,505.644,1.85381838e-17
World,-49.7748,56.769,-2304.96,2.23054,13622200.0,3.57332508e-16
World,6930.58,-2767.68,-9398.42,0.720387,1132740.0,1.154059974e-16
World,7598.52,-3588.44,-9030.73,2.72276,3820290.0,4.36186152e-16
World,7598.52,-3588.44,-9030.73,2.28762,200703.0,3.6647672399999997e-16
Cladding_PV,11.8531,44.0123,-2330.38,7.76454,15172.5,1.243879308e-15
Cladding_PV,4.2379,45.1546,-2318.27,18.3234,19022.2,2.93540868e-15
Cladding_PV,-8.16653,49.6303,-2306.6,8.51765,13717.6,1.36452753e-15
Cladding_PV,-15.1059,57.3301,-2299.25,6.52026,7932.17,1.044545652e-15
Cladding_PV,-16.4365,63.9613,-2295.96,10.9129,5073.25,1.74824658e-15
Cladding_PV,-15.821,66.3115,-2291.74,4.36455,4359.48,6.9920091e-16
Cladding_PV,-16.5,68.3874,-2288.19,6.68057,3788.08,1.070227314e-15
Cladding_PV,-18.3569,71.138,-2286.74,0.650137,1842.87,1.0415194739999999e-16
