Volume,X,Y,Z,Edep_keV,StepLength_nm,Edep_J
Cladding_PV,-47.3326,35.8604,-2318.6,9.30561,18650.3,1.4907587219999999e-15
Cladding_PV,-49.0496,49.6704,-2306.82,3.43432,8803.26,5.50178064e-16
World,-48.7338,57.009,-2302.37,2.24211,12507400.0,3.5918602199999994e-16
Cladding_PV,31.8193,-52.038,-2469.51,4.2222,11155.1,6.7639644e-16
Cladding_PV,39.9999,-59.2966,-2470.56,2.34148,3672.05,3.7510509599999996e-16
World,42.7558,-61.6193,-2471.0,1.71727,13049200.0,2.75106654e-16
World,7372.03,2875.57,-7586.33,0.28661,2943830.0,4.5914921999999994e-17
Cladding_PV,11.9198,-13.0344,-2492.89,2.03695,4009.26,3.2631939e-16
Cladding_PV,8.9877,-13.6362,-2495.42,1.78226,2760.91,2.85518052e-16
Cladding_PV,6.94697,-13.696,-2497.21,5.33329,2207.91,8.54393058e-16
Cladding_PV,5.09616,-14.0135,-2498.32,0.897022,2132.82,1.437029244e-16
Cladding_PV,3.12201,-14.4951,-2498.86,2.18001,2798.3,3.4923760199999996e-16
Cladding_PV,0.752817,-15.1157,-2499.96,0.0936447,50.9993,1.500188094e-17
World,0.72309,-15.1008,-2500.0,2.88501,6814280.0,4.621786019999999e-16
World,-4927.35,1388.62,-6800.26,1.88342,6457250.0,3.01723884e-16
World,-4927.35,1388.62,-6800.26,4.56799,1936440.0,7.31791998e-16
World,-5009.25,2361.56,-7443.09,6.11386,1089580.0,9.79440372e-16
Cladding_PV,58.8269,-21.8498,-2445.78,7.28952,6731.6,1.167781104e-15
Cladding_PV,53.6889,-25.2854,-2444.11,6.79464,9279.1,1.088501328e-15
Cladding_PV,47.613,-31.1107,-2442.51,9.64986,10923.1,1.545907572e-15
Cladding_PV,49.3687,-39.3062,-2447.58,11.4973,8266.68,1.8418674599999998e-15
Cladding_PV,48.6388,-43.585,-2453.58,4.13934,5382.07,6.63122268e-16
Cladding_PV,48.7157,-46.0856,-2457.7,4.31639,4750.14,6.91485678e-16
Cladding_PV,50.4252,-43.8489,-2460.86,6.98523,4450.39,1.119033846e-15
Cladding_PV,51.8247,-40.3421,-2461.84,27.0803,7949.28,4.33826406e-15
Cladding_PV,13.3799,68.1884,-2380.16,2.59095,7538.12,4.1507018999999997e-16
World,18.6784,72.6369,-2377.35,0.814961,6938140.0,1.305567522e-16
World,5135.37,3461.99,836.336,1.11963,6982880.0,1.7936472599999998e-16
World,5135.37,3461.99,836.336,4.76123,702502.0,7.62749046e-16
Cladding_PV,5.22322,-71.0371,-2476.02,1.87836,4084.63,3.00913272e-16
World,3.95078,-74.8959,-2476.19,1.26747,9528950.0,2.03048694e-16
World,-3505.42,-8802.18,-1063.21,0.481167,1319340.0,7.70829534e-17
World,-3505.42,-8802.18,-1063.21,1.07333,63131.0,1.7194746599999997e-16
Cladding_PV,-23.394,44.9385,-2467.51,19.1982,4365.81,3.0755516399999998e-15
Cladding_PV,28.638,21.2888,-2278.99,7.2535,20108.0,1.1620107e-15
Cladding_PV,30.3232,16.1216,-2259.87,15.6298,22819.3,2.50389396e-15
Cladding_PV,26.3243,10.2779,-2238.52,6.86429,23227.0,1.099659258e-15
Cladding_PV,25.2383,5.88624,-2216.09,9.43863,23963.6,1.512068526e-15
Cladding_PV,17.3287,17.4095,-2197.11,23.705,22808.6,3.7975409999999996e-15
Cladding_PV,16.7483,28.553,-2177.64,5.94014,21518.1,9.51610428e-16
Cladding_PV,10.1465,36.1628,-2159.05,9.47861,20238.3,1.5184733219999998e-15
Cladding_PV,8.47632,47.332,-2142.67,22.1304,25464.3,3.54529008e-15
Cladding_PV,2.5129,63.3237,-2124.55,7.14272,19188.0,1.144263744e-15
World,-7.65436,74.6084,-2114.2,3.15318,13031100.0,5.05139436e-16
Cladding_PV,-24.1324,-31.0469,-2375.8,18.8599,40401.8,3.0213559799999998e-15
Cladding_PV,-14.8569,-45.0203,-2339.72,14.8486,33272.0,2.37874572e-15
Cladding_PV,-3.26254,-55.0324,-2310.69,15.7804,38196.3,2.52802008e-15
Cladding_PV,-0.15605,-64.9616,-2274.6,10.9141,34699.7,1.7484388199999999e-15
Cladding_PV,13.0742,-73.0435,-2244.86,1.54012,3973.47,2.46727224e-16
World,15.4514,-73.3911,-2241.72,3.70269,15452700.0,5.93170938e-16
Cladding_PV,18.2193,-38.3847,-2496.01,6.14619,17131.8,9.846196379999998e-16
Cladding_PV,25.9548,-29.2726,-2484.1,6.32884,14860.2,1.013880168e-15
Cladding_PV,33.2886,-21.2358,-2474.27,20.5929,14978.5,3.2989825799999997e-15
Cladding_PV,37.8691,-10.4157,-2465.32,10.316,24449.5,1.6526232e-15
Cladding_PV,43.2956,12.7546,-2464.41,8.36378,15824.5,1.339877556e-15
Cladding_PV,43.5174,28.2455,-2465.58,9.6641,15621.6,1.5481888199999998e-15
Cladding_PV,42.7362,42.3079,-2471.62,84.4106,16092.1,1.352257812e-14
Cladding_PV,43.1407,57.3171,-2476.39,3.29463,4573.39,5.27799726e-16
World,43.3056,61.2342,-2478.47,0.632544,2637470.0,1.0133354879999999e-16
World,-110.016,2269.68,-3897.06,1.69812,9734490.0,2.72038824e-16
World,-110.016,2269.68,-3897.06,4.57516,654865.0,7.329406320000001e-16
Cladding_PV,-3.25117,8.81002,-2433.21,5.5235,14619.7,8.848647e-16
Cladding_PV,-15.1179,15.208,-2428.04,5.29173,17804.6,8.477351460000001e-16
Cladding_PV,-28.597,22.4516,-2419.48,4.56927,18265.7,7.319970540000001e-16
Cladding_PV,-42.2105,34.089,-2417.98,5.61877,18794.6,9.00126954e-16
Cladding_PV,-58.0331,43.2079,-2417.01,1.91728,3365.96,3.07148256e-16
World,-61.0216,43.6047,-2415.57,1.66907,11427700.0,2.67385014e-16
Cladding_PV,42.7642,-3.23287,-2443.66,7.22708,15223.9,1.1577782159999999e-15
Cladding_PV,44.9969,-8.96933,-2430.3,8.06836,16938.4,1.292551272e-15
Cladding_PV,47.8277,-21.3153,-2420.13,6.27684,15073.8,1.005549768e-15
Cladding_PV,47.5937,-34.2887,-2413.73,5.97876,8776.65,9.57797352e-16
Cladding_PV,47.2049,-40.7637,-2408.16,2.42512,6936.09,3.88504224e-16
Cladding_PV,48.6846,-35.074,-2404.77,15.2633,9569.56,2.44518066e-15
Cladding_PV,51.2875,-33.3518,-2396.04,5.4003,7917.3,8.651280599999999e-16
Cladding_PV,55.535,-31.2001,-2390.04,4.58846,7414.46,7.35071292e-16
Cladding_PV,59.9921,-30.99,-2384.42,5.02445,5826.16,8.049168899999999e-16
Cladding_PV,62.2184,-30.5089,-2379.24,3.90176,5532.62,6.250619519999999e-16
Cladding_PV,64.2006,-26.321,-2376.52,2.68617,5376.03,4.3032443400000003e-16
Cladding_PV,66.4868,-25.3098,-2371.95,5.22938,7537.48,8.37746676e-16
Cladding_PV,70.7957,-24.3593,-2366.66,0.0114452,232.424,1.83352104e-18
World,70.9417,-24.3366,-2366.48,5.7135,17115500.0,9.153027e-16
